fare_id,route_id
1,338
1,1318
1,332
1,1316
1,1314
1,331
1,336
1,337
1,334
1,335
1,1728
1,1729
1,1726
1,1821
1,1822
1,1727
1,1724
1,1725
1,1820
1,2012
1,1722
1,1723
1,1720
1,1823
1,1721
1,1824
1,1829
1,1828
1,5221
1,1329
1,1324
1,1327
1,344
1,1326
1,3487
1,345
1,346
1,347
1,1323
1,348
1,1717
1,1718
1,1719
1,1713
1,1714
1,1810
1,1715
1,1811
1,1812
1,1710
1,1813
1,1711
1,1814
1,1712
1,2213
1,1704
1,1843
1,1844
1,1705
1,1841
1,1702
1,1842
1,1703
1,1708
1,1709
1,1840
1,1440
1,1849
1,1700
1,1847
1,1848
1,1701
1,1845
1,1846
1,221
1,1306
1,223
1,327
1,224
1,328
1,225
1,226
1,228
1,229
1,324
1,325
1,1301
1,1300
1,1303
1,1302
1,1830
1,1831
1,1832
1,1833
1,1838
1,1839
1,1834
1,1835
1,1836
1,1837
1,424
1,3239
1,304
1,306
1,305
1,307
1,446
1,2112
1,2133
1,1601
1,1602
1,2132
1,1600
1,1603
1,1809
1,1808
1,1806
1,1805
1,1804
1,1803
1,1802
1,1801
1,1800
1,2092
1,2094
1,2093
1,2293
1,1521
1,1520
1,3155
1,1620
1,2152
1,1621
1,4195
1,1793
1,3546
1,3401
1,4837
1,3219
1,2072
1,1782
1,1783
1,1784
1,1788
1,1789
1,2273
1,1501
1,1790
1,1500
1,1503
1,1792
1,1502
1,1791
1,1504
1,2172
1,2173
1,1779
1,1774
1,1771
1,1772
1,1777
1,1778
1,1775
1,1776
1,1781
1,1780
1,3527
1,3526
1,3425
1,3427
1,3422
1,1764
1,1767
1,1766
1,1761
1,1760
1,1763
1,1762
1,1860
1,1769
1,1768
1,1671
1,1670
1,1661
1,1662
1,1663
1,1664
1,1665
1,1666
1,1668
1,1669
1,1566
1,1770
1,1562
1,1563
1,1564
1,1565
1,1756
1,1859
1,1858
1,1560
1,1755
1,1754
1,1753
1,1752
1,1751
1,1750
1,1851
1,1850
1,3791
1,1660
1,1855
1,1853
1,3790
1,1757
1,1557
1,1556
1,1553
1,3646
1,1554
1,1551
1,1552
1,1741
1,1740
1,1743
1,2032
1,1745
1,1550
1,1744
1,1691
1,1747
1,1690
1,1746
1,1693
1,1749
1,1692
1,1748
1,1882
1,1687
1,1548
1,1549
1,1688
1,1689
1,1685
1,1686
1,1540
1,1541
1,1542
1,1543
1,1544
1,1545
1,1546
1,1547
1,1730
1,1734
1,1733
1,1682
1,1738
1,1737
1,1681
1,1680
1,1736
1,1735
1,1739
1,1678
1,1679
1,1880
1,1676
1,1674
1,1675
1,1673
1,2535
1,3667
1,2435
1,2436
1,4496
1,1091
1,1090
1,1093
1,1092
1,1095
1,1094
1,1097
1,1096
1,1099
1,1098
1,4896
1,1089
1,1580
1,1581
1,1582
1,1480
1,1481
1,1482
1,1080
1,4215
2,1180
1,1084
1,1083
1,1082
1,1081
1,1088
1,1087
1,1086
1,1085
1,3917
1,3918
1,1078
1,1079
1,2455
1,1075
1,1074
1,1077
1,1076
1,1071
1,2313
1,1070
1,1073
1,1072
1,4095
1,1067
1,1068
1,1069
1,1460
1,3750
1,4235
1,1066
1,1065
1,1064
1,2595
1,1063
1,1062
1,2475
1,4556
1,3810
1,4162
1,3506
1,1699
1,1698
1,4537
1,1695
1,1694
1,1697
1,4275
1,1696
1,2556
1,4055
1,4056
1,1298
1,1292
1,1293
1,1291
1,1296
1,1108
1,1294
1,1109
1,1106
1,1107
1,1104
1,1105
1,1102
1,1103
1,284
1,1100
1,1101
1,1110
1,1289
1,1288
1,1281
1,1904
1,1279
1,1278
1,1274
1,1124
1,1125
1,1122
1,1123
1,1128
1,1129
1,1126
1,1127
1,1132
1,1131
1,1130
1,1266
1,1265
1,1119
1,1261
1,1260
1,1111
1,1112
1,1113
1,1114
1,1115
1,1116
1,1117
1,1118
1,1121
1,1120
1,1258
1,1255
1,1256
1,240
1,241
1,384
1,1253
1,1251
1,1250
1,1245
1,1246
1,1244
1,389
1,388
1,1247
1,386
1,385
1,1348
1,243
1,1346
1,1347
1,1344
1,1342
1,1138
1,1137
1,1139
1,1134
1,1133
1,1136
1,1135
1,230
1,370
1,371
1,1242
1,239
1,1140
1,232
1,1335
1,1141
1,231
1,1142
1,234
1,1143
1,233
1,1338
1,236
1,1331
1,235
1,1332
1,238
1,237
1,1952
1,366
1,365
1,364
1,369
1,368
1,367
1,264
1,1360
1,1160
